headline,sentiment
"Automatic Data Processing, Inc.: AUTOMATIC DATA PROCESSING INC - PRICES $1 BILLION SENIOR NOTES DUE 2032 AT 4.750%",Neutral
"Ericsson: BUZZ-Ericsson slips after it reports Q2 sales miss, warns of uncertainty",Negative
AT&T Inc. 5.350% Global Notes d: AT&T EXPANDS OFFICE@HAND BUSINESS COMMUNICATIONS PORTFOLIO WITH RINGCX AI-POWERED CONTACT CENTER AND RINGSENSE CONVERSATIONAL INTELLIGENCE SOLUTIONS BY RINGCENTRAL,Positive
Comcast Corporation: COMCAST CORP <CMCSA.O>: JP MORGAN RAISES TARGET PRICE TO $38.00 FROM $37.00,Positive
Verizon Communications Inc.: Activist Jana Partners pushes Wolfspeed to explore sale of devices business,Neutral
"T-Mobile US, Inc.: UPDATE 1-SoftBank's $5.8 billion Nvidia stake sale stirs fresh AI bubble fears",Negative
MACOM Technology Solutions Hold: MACOM TECHNOLOGY SOLUTIONS HOLDINGS INC <MTSI.O>: JP MORGAN RAISES TARGET PRICE TO $145 FROM $110,Positive
Apple Inc.: Newscasts - Apple nears $4 trillion valuation as data shows strong iPhone 17 demand,Positive
"Bilibili Inc.: PDD HOLDINGS UP 4.7%, NETEASE UP 6.5%, BAIDU UP 4.3%",Positive
"Uber Technologies, Inc.: U.S. SUES UBER TECHNOLOGIES FOR VIOLATING AMERICANS WITH DISABILITIES ACT, COURT FILING SHOWS",Negative
"Zoom Communications, Inc.: ZOOM COMMUNICATIONS INC <ZM.O>: MIZUHO RAISES TARGET PRICE TO $100 FROM $95",Positive
"Cisco Systems, Inc.: US sounds alarm over hackers targeting Cisco security devices",Negative
Broadcom Inc.: BROADCOM INC<AVGO.O>: DEUTSCHE BANK RAISES TARGET PRICE TO $350 FROM $300,Positive
"Gartner, Inc.: GARTNER SHARES UP 4.1% PREMARKET AFTER CO RAISES ANNUAL ADJUSTED PROFIT FORECAST",Positive
"Motorola Solutions, Inc.: NYSE ORDER IMBALANCE <MSI.N> 58734.0 SHARES ON SELL SIDE",Negative
Palantir Technologies Inc.: US STOCKS-Wall St rallies on election day as investor focus shifts to outcome,Neutral
"Intel Corporation: AI MAVERICK INTEL, INC. ANNOUNCES NEW TRADING SYMBOL “AIMV”  EFFECTIVE OCT. 20, 2025",Neutral
"Broadcom Inc.: BUZZ-U.S. STOCKS ON THE MOVE-Trade Desk, Lithia Motors, GitLab",Neutral
"Uber Technologies, Inc.: BRIEF-WeRide Announces CEO’s Voluntary Lock-Up To Reinforce Long-Term Commitment As Company Launches Hong Kong IPO",Positive
"Workday, Inc.: UPDATE 1-Britain's Kainos jumps on upbeat annual outlook",Positive
AT&T Inc. 5.350% Global Notes d: BUZZ-Lumen falls after report AT&T is in talks to buy co's consumer fiber unit,Positive
"IREN LIMITED: BUZZ-U.S. STOCKS ON THE MOVE-SentinelOne, Autodesk, Dollar Tree",Neutral
"NVIDIA Corporation: OPENAI: WILL IMMEDIATELY START UTILIZING AWS COMPUTE AS PART OF PARTNERSHIP, ALL CAPACITY TARGETED TO BE DEPLOYED BEFORE 2026 END",Positive
Cognizant Technology Solutions : COGNIZANT <CTSH.O>: BARCLAYS CUTS TARGET PRICE TO $90 FROM $103,Negative
"ON Semiconductor Corporation: U.S. LISTING OF ARM HOLDINGS UP 3.1%, U.S. LISTING OF TAIWAN SEMICONDUCTOR MANUFACTURING UP 2.1%",Positive
"CoreWeave, Inc.: US STOCKS-S&P 500, Nasdaq futures fall on renewed tech concerns",Negative
Intel Corporation: US SENATOR BERNIE SANDERS WELCOMES TRUMP ADMINISTRATION PLAN TO CONVERT INTEL'S CHIPS ACT AWARD INTO GOVERNMENT HELD STAKE,Neutral
"Sandisk Corporation: REFILE-BUZZ-U.S. STOCKS ON THE MOVE-Broadcom, JPMorgan, Enpro",Neutral
Fabrinet: FABRINET <FN.N>: ROSENBLATT SECURITIES RAISES TARGET PRICE TO $425 FROM $360,Positive
GoDaddy Inc.: GoDaddy Inc reports results for the quarter ended June 30 - Earnings Summary,Neutral
"Roblox Corporation: ROBLOX SHARES EXTEND PREMARKET LOSSES, LAST DOWN 31.6%",Negative
"Coinbase Global, Inc.: U.S. CRYPTO-LINKED STOCKS RISE PREMARKET AFTER US HOUSE PASSES CRYPTO MARKET STRUCTURE LEGISLATION",Positive
Oracle Corporation: IBM ANNOUNCES NEW AI AGENTS ON ORACLE FUSION APPLICATIONS AI AGENT MARKETPLACE,Positive
Atlassian Corporation: ATLASSIAN <TEAM.O>: UBS RAISES TARGET PRICE TO $245 FROM $205,Positive
"Advanced Micro Devices, Inc.: BREAKINGVIEWS-OpenAI takes its cut for expanding the AI boom",Positive
"Fortinet, Inc.: U.S. RESEARCH ROUNDUP-Amazon, Mastercard, Tesla",Neutral
Ericsson: ERICSSON -  ORANGE FRANCE CHOOSES ERICSSON TO STRENGTHEN ITS NETWORK CAPACITY WHILE REDUCING ITS ENERGY CONSUMPTION BY 30%,Positive
Snap Inc.: BUZZ-Snap jumps 22% as AI pivot boosts investor confidence,Positive
"CrowdStrike Holdings, Inc.: PALO ALTO NETWORKS DOWN 1.8%, SENTINELONE DOWN 1.7%",Negative
NVIDIA Corporation: LIVE MARKETS-US stocks fall in early trade,Neutral
Palantir Technologies Inc.: PALANTIR TECHNOLOGIES INC -  ANNOUNCED A MULTI-YEAR PARTNERSHIP WITH FEDRIGONI TO ACCELERATE OPERATIONAL TRANSFORMATION WITH AI,Positive
"Strategy Inc: COINBASE GLOBAL UP 1.9%, BITFARMS UP 2.4%, STRATEGY UP 1.2%",Positive
"Hewlett Packard Enterprise Comp: US STOCKS-S&P 500, Nasdaq at record highs as trade hopes feed quarterly momentum",Neutral
"DoorDash, Inc.: DOORDASH <DASH.O>: BTIG RAISES TARGET PRICE TO $225 FROM $200",Positive
"Figma, Inc.: NYSE ORDER IMBALANCE <FIG.N> 912860.0 SHARES ON BUY SIDE",Positive
AT&T Inc.: NYSE ORDER IMBALANCE <T.N> 1039318.0 SHARES ON BUY SIDE,Positive
Wipro Limited: WIPRO -DEAL FOR $ 40 MLN,Positive
Broadcom Inc.: BUZZ-US chipmakers' shares up as Oracle expects $500 billion in booked cloud orders,Positive
"Cloudflare, Inc.: Cloudflare denies hosting sites linked to data leak at India's Star Health",Neutral
"Alphabet Inc.: Meta in talks to spend billions on Google's chips, The Information reports",Neutral
"Bilibili Inc.: JD.COM DOWN 1.6%, LI AUTO DOWN 1.3%, NIO DOWN 1%, XPENG DOWN 1.1%",Negative
"Micron Technology, Inc.: BROADCOM SHARES UP 3.3%, MICRON TECHNOLOGY UP 1.2%, NVIDIA UP 1%, ARM HOLDINGS UP 2.3%",Positive
Snowflake Inc.: SNOWFLAKE INC <SNOW.N>: JEFFERIES RAISES TARGET PRICE TO $270 FROM $250,Positive
"Meta Platforms, Inc.: Newscasts - S&P 500 flat after Powell doesn't guarantee December Fed rate cut",Neutral
Flex Ltd.: BRIEF-Flex Completes Acquisition Of Crown Technical Systems,Positive
"Pinterest, Inc.: BUZZ-Pinterest falls as Jefferies downgrades to 'hold'",Negative
Apple Inc.: UPDATE 2-T-Mobile lifts annual forecast as subscriber gains top estimates on iPhone upgrades,Positive
ASML Holding N.V. - New York Re: UPDATE 2-European shares advance on Nvidia results lift; investors assess US jobs data,Positive
Wipro Limited: BRIEF-Wipro Completes Acquisition Of Harman Connected Services,Positive
"Broadcom Inc.: MICRON UP 5.1%, ADVANCED MICRO DEVICES UP 3.3%, QUALCOMM UP 2%, BROADCOM UP 2.4%",Positive
Lumentum Holdings Inc.: LUMENTUM HOLDINGS INC <LITE.O>: MORGAN STANLEY  RAISES TARGET PRICE TO $76.00 FROM $61.00,Positive
Roblox Corporation: ROBLOX CORP <RBLX.N>: RAYMOND JAMES RAISES TARGET PRICE TO $165 FROM $155,Positive
Roblox Corporation: ROBLOX Q3 NET INCOME USD -240.447 MILLION VS. IBES ESTIMATE USD -244.8 MILLION,Positive
"Cloudflare, Inc.: CLOUDFLARE INC. <NET.N>: WELLS FARGO RAISES TARGET PRICE TO $150 FROM $135",Positive
STMicroelectronics N.V.: STMICROELECTRONICS NV <STM.N>: TD COWEN CUTS TARGET PRICE TO $25 FROM $27,Negative
"NetApp, Inc.: BUZZ-U.S. STOCKS ON THE MOVE-Victoria's Secret, Copper miners, Dell",Neutral
"PDD Holdings Inc.: ISHARES MSCI CHINA ETF UP 5.6%, ISHARES CHINA LARGE CAP ETF UP 6.1%, KRANESHARES CSI CHINA INTERNET ETF UP 6.7%",Positive
"Broadcom Inc.: BUZZ-U.S. STOCKS ON THE MOVE-Big Tech, US card firms, copper miners",Neutral
"Verizon Communications Inc.: BUZZ-U.S. STOCKS ON THE MOVE-American Express, Grindr, Gold miners",Neutral
"Meta Platforms, Inc.: RPT-BREAKINGVIEWS-H-1B visa war will accelerate AI jobs reckoning",Neutral
Wipro Limited: WIPRO - GROVE HOLDINGS 2 S.Á.R.L. TRANSFERRED ITS ENTIRE STAKE IN CAPCO CONSULTING MIDDLE EAST FZE TO WIPRO IT SERVICES UK,Neutral
"Netflix, Inc.: BUZZ-U.S. STOCKS ON THE MOVE-SmartFinancial, TE Connectivity, Arista Networks",Neutral
Texas Instruments Incorporated: TEXAS INSTRUMENTS INC <TXN.O>: MIZUHO CUTS TARGET PRICE TO $145 FROM $150,Negative
International Business Machines: BRIEF-IBM - Expects To Recognize A One-Time Non-Cash Pre-Tax Pension Settlement Charge Of Approximately $2.7 Billion ($2.0 Billion Net Of Tax) In Q3 Of 2024,Negative
"DoorDash, Inc.: BUZZ-DoorDash falls as Q3 profit misses estimates on rising costs",Negative
"ServiceNow, Inc.: BUZZ-U.S. STOCKS ON THE MOVE-Thor Industries,  Mirion Technologies, ServiceNow",Neutral
"NetApp, Inc.: NETAPP, INC. <NTAP.O>: BARCLAYS RAISES TARGET PRICE TO $117 FROM $115",Positive
"Cisco Systems, Inc.: CISCO <CSCO.O>: PIPER SANDLER RAISES TARGET PRICE TO $70 FROM $64",Positive
Zebra Technologies Corporation: ZEBRA TECHNOLOGIES <ZBRA.O>: NEEDHAM CUTS TARGET PRICE TO $395 FROM $430,Negative
Accenture plc: ACCENTURE PLC <ACN.N>: EVERCORE ISI INITIATES COVERAGE WITH OUTPERFORM RATING; PRICE TARGET $330,Positive
Dell Technologies Inc.: BUZZ - S&P 500 top and bottom performing stocks at about 03:30 p.m. EDT,Neutral
AT&T Inc. 5.350% Global Notes d: EXCLUSIVE-Inside the US push to steer Vietnam's subsea cable plans away from China,Neutral
PDD Holdings Inc.: UPDATE 1-Vietnam parliament moves to curb tax breaks favouring e-commerce giants,Negative
Palantir Technologies Inc.: PALANTIR TECHNOLOGIES SHARES DOWN 5.2%,Negative
"DuPont de Nemours, Inc.: DUPONT OUTLOOK Q2 NET SALES ABOUT $3.2 BLN VS IBES ESTIMATE $3.25 BLN",Negative
AT&T Inc.: AT&T Inc reports results for the quarter ended June 30 - Earnings Summary,Neutral
Dell Technologies Inc.: BUZZ-Dell falls after third-quarter profit forecast comes below estimates,Negative
"PDD Holdings Inc.: NIO DOWN 3.2%, IQIYI DOWN 2.8%",Negative
STMicroelectronics N.V.: STMICROELECTRONICS INTRODUCES THE INDUSTRY’S FIRST 18NM MICROCONTROLLER FOR HIGH-PERFORMANCE APPLICATIONS,Positive
"UiPath, Inc.: NYSE ORDER IMBALANCE <PATH.N> 1559926.0 SHARES ON SELL SIDE",Negative
"Autodesk, Inc.: AUTODESK INC <ADSK.O>: ROSENBLATT SECURITIES RAISES TARGET PRICE TO $355 FROM $345",Positive
"Coinbase Global, Inc.: CRYPTO STOCKS RISE PREMARKET AS BITCOIN PRICES RISE MORE THAN 2%",Positive
Snowflake Inc.: SNOWFLAKE SHARES DOWN 1.4%; CO ANNOUNCES PROPOSED PRIVATE PLACEMENT OF $2.0 BLN OF CONVERTIBLE SENIOR NOTES,Negative
"Toast, Inc.: TOAST Q3 GROSS PROFIT USD 432 MILLION",Neutral
Adobe Inc.: Adobe beats first-quarter revenue estimates,Positive
"Coinbase Global, Inc.: KULR TECHNOLOGY GROUP INC - TO USE PROCEEDS FOR BITCOIN ACCUMULATION",Positive
"MercadoLibre, Inc.: MERCADOLIBRE INC <MELI.O>: WEDBUSH RAISES TARGET PRICE TO $2,200 FROM $2,000",Positive
"AST SpaceMobile, Inc.: AST SPACEMOBILE INC - SUCCESSFULLY COMPLETES UNFOLDING OF FIRST FIVE COMMERCIAL SATELLITES IN LOW EARTH ORBIT",Positive
Zebra Technologies Corporation: Deals of the day-Mergers and acquisitions,Neutral
PTC Inc.: BRIEF-PTC Inc announces $2 bln share repurchase authorization,Positive
Comcast Corporation: SKY OWNER COMCAST IN TALKS TO BUY ITV’S BROADCASTING ARM-BLOOMBERG NEWS,Positive
"Procore Technologies, Inc.: PROCORE TECHNOLOGIES Q3 OPERATING EXPENSES USD 285.119 MILLION",Neutral
Intel Corporation: INTEL: WILL BE JUDICIOUS AND DISCIPLINED AS WE ALLOCATE CAPITAL TO FOUNDRY BUSINESS - MEMO,Neutral
Electronic Arts Inc.: ELECTRONIC ARTS - WILL NO LONGER PROVIDE FORWARD-LOOKING GUIDANCE,Negative
Comcast Corporation: COMCAST CORP <CMCSA.O>: EVERCORE ISI CUTS TARGET PRICE TO $44 FROM $50,Negative
"Charter Communications, Inc.: CHARTER COMMUNICATIONS, INC. <CHTR.O>: WELLS FARGO CUTS TARGET PRICE TO $240 FROM $300",Negative
"ASML Holding N.V. - New York Re: UPDATE 3-Besi lifts long-term targets, expecting new AI customers",Positive
"Cisco Systems, Inc.: CISCO <CSCO.O>: PIPER SANDLER RAISES TARGET PRICE TO $64 FROM $60",Positive
Alibaba Group Holding Limited: ALIBABA GROUP - PROPOSED EXCHANGEABLE BOND OFFERING TO ORDINARY SHARES OF ALIBABA HEALTH INFORMATION TECHNOLOGY,Neutral
"CoreWeave, Inc.: CORE SCIENTIFIC SHARES PLUNGE 23%; COREWEAVE TO ACQUIRE CO",Negative
"MercadoLibre, Inc.: MERCADOLIBRE'S MERCADO PAGO FINTECH ARM HAS PRESENTED APPLICATION FOR BANKING LICENSE TO MEXICAN REGULATOR - STATEMENT",Positive
"Jack Henry & Associates, Inc.: JACK HENRY H1 OPERATING INCOME USD 274.278 MILLION",Neutral
"Coinbase Global, Inc.: Coinbase set to reincorporate in Texas",Neutral
"Procore Technologies, Inc.: PROCORE TECHNOLOGIES, INC. <PCOR.N>: BARCLAYS CUTS TARGET PRICE TO $70 FROM $90",Negative
ASML Holding N.V. - New York Re: SK HYNIX CONSIDERING ASML'S HIGH NA EUV TOOL FOR DRAM UNDER 10NM -CTO SEON-YONG CHA,Positive
QUALCOMM Incorporated: PHILADELPHIA SE SEMICONDUCTOR INDEX DOWN 2%,Negative
"Leidos Holdings, Inc.: BRIEF-Leidos Awarded $249M Army Force Protection Contract",Positive
"Uber Technologies, Inc.: UPDATE 3-Uber shares slide as slowing bookings growth spooks investors",Negative
Accenture plc: ACCENTURE PLC: CO AND GOOGLE CLOUD COLLABORATING WITH AIR FRANCE-KLM TO ESTABLISH GENERATIVE AI FACTORY,Positive
"CoStar Group, Inc.: Deals of the day-Mergers and acquisitions",Neutral
"MercadoLibre, Inc.: MERCADOLIBRE WITHDRAWS PROPOSAL TO MOVE DOMICILE FROM DELAWARE TO TEXAS FROM CONSIDERATION AT UPCOMING SHAREHOLDER MEETING - SEC FILING",Neutral
Verizon Communications Inc.: VERIZON COMMUNICATIONS INC - OFFERS $15 MONTHLY DISCOUNT FOR COMBINED MOBILE AND HOME INTERNET SERVICES,Positive
"Pinterest, Inc.: Newscasts - US Morning Call: Election rally holds as Wall Street rounds out historic week",Neutral
Adobe Inc.: ADOBE INC <ADBE.O>: BERNSTEIN CUTS TARGET PRICE TO $587 FROM $644,Negative
"Super Micro Computer, Inc.: SUPER MICRO COMPUTER Q3 ADJUSTED GROSS MARGIN 9.7%",Neutral
Ericsson: ERICSSON - SEES FURTHER SIGNS THAT OVERALL RAN MARKET IS NOW STABILIZING,Positive
"Coinbase Global, Inc.: COINBASE GLOBAL : BUYS, SELLS, AND FIAT WITHDRAWALS/DEPOSITS REMAIN UNAFFECTED ON COSMOS NETWORK",Neutral
"CoreWeave, Inc.: COREWEAVE INC - FUNDS OR ACCOUNTS MANAGED OR ADVISED BY MAGNETAR FINANCIAL LLC BENEFICIALLY OWNED 34.53% OF CLASS A COMMON SHARES PRIOR TO OFFERING",Neutral
